"ANSWER","ID","SIZE"
"pathfinding","122","2"
"d","123","6"
"Woe from Wit","124","5"
"The Great Transformation","125","2"
"cirques","126","2"
"Typhon","127","5"
"The Beaver Coat","128","2"
"A Letter Concerning Toleration","129","2"
"Council of Basel","130","2"
"Senegal","131","8"
"Virginia","132","18"
"Robert Mugabe","133","8"
"boundary layer flow","134","2"
"Honore de Balzac","135","14"
"Baeyer-Villiger oxidation","136","3"
"Bharati Mukherjee","137","2"
"Frederick Theodore Albert Delius","138","2"
"Sevastopol Sketches","139","2"
"total internal reflection","140","7"
"Leopold","141","3"
"Joshua","142","11"
"Patient Griselda","143","2"
"Gnosticism","144","2"
"The Labyrinth of Solitude","145","4"
"Paul von Hindenburg","146","4"
"Sif","147","7"
"Joan Miro","148","5"
"Limestone","149","2"
"Santiago","150","6"
"Dante Gabriel Rossetti","151","10"
"holographic principle","152","2"
"Methodism","153","12"
"aspiration","154","5"
"Agni","155","11"
"Benjamin West","156","15"
"Maxim Gorky","157","13"
"Discourses on Livy","158","2"
"Voting Rights Act of 1965","159","2"
"William Butler Yeats","160","44"
"zebrafish","161","4"
"Franz Joseph I","162","2"
"Loves Labours Lost","163","2"
"Don Giovanni","164","27"
"Livonian War","165","2"
"thymus","166","6"
"The Loneliness of the Long Distance Runner","167","3"
"The Third Man","168","3"
"Cyprus","169","11"
"fixed points","170","4"
"Jose Clemente Orozco","171","6"
"Nectar in a Sieve","172","2"
"Bacons Rebellion","173","12"
"nitro group","174","2"
"One-Dimensional Man","175","2"
"The Hairy Ape","176","3"
"A System of Logic","177","2"
"The Betrothed","178","3"
"Trinidad and Tobago","179","4"
"Pierre Boulez","180","2"
"Apis","181","3"
"John Coltrane","182","23"
"Medea","183","28"
"Ambrose Burnside","184","2"
"Ivo Andric","185","2"
"Second Anglo-Boer War","186","8"
"Prime Minister of South Africa","187","2"
"South Africa","188","24"
"German South-West Africa","189","2"
"Republic of South Africa","190","36"
"Thyrsis","191","3"
"Jahn-Teller effect","192","4"
"The","193","29"
"Carmichael numbers","194","4"
"Uncle Vanya","195","12"
"the Moon","196","6"
"pair production","197","2"
"Miletus","198","3"
"The Burial of Count Orgaz","199","5"
"A Personal Matter","200","5"
"The Merry Widow","201","2"
"Orion","202","21"
"open","203","6"
"Lord Salisbury","204","2"
"integrable","205","4"
"Hebrew","206","7"
"David Hockney","207","8"
"John Crowe Ransom","208","4"
"adiabatic","209","7"
"Hyderabad","210","2"
"halakha","211","2"
"Guernica","212","21"
"Bartholomew Fair A Comedy","213","2"
"The Theory of Moral Sentiments","214","3"
"Fiume","215","4"
"Rameaus Nephew","216","2"
"Hippolytus","217","5"
"DFT","218","2"
"Germaine Greer","219","4"
"Ko Un","220","2"
"Manchester","221","6"
"Flannery OConnor","222","27"
"oboes","223","5"
"Saint Jerome","224","5"
"Werther","225","5"
"placenta","226","10"
"carbenes","227","3"
"Tajikistan","228","2"
"Herbert Jeffrey Herbie Hancock","229","2"
"Caracalla","230","4"
"Poland","231","47"
"Songs Without Words","232","3"
"magnetic vector potential","233","6"
"Old Creole Days","234","2"
"Lotus Sutra","235","5"
"Marcus Valerius Martialis","236","4"
"Nuwa","237","2"
"Melencolia I","238","2"
"The Man of Mode","239","4"
"Prohibition Party","240","2"
"John Duns Scotus","241","5"
"Roger Penrose","242","3"
"Prime Minister of Australia","243","7"
"War of the Pacific","244","13"
"The Myth of Sisyphus","245","7"
"Italo Calvino","246","28"
"Tragic Symphony","247","3"
"The Call of Cthulhu","248","2"
"Book of Acts of the Apostles","249","2"
"Battle of Bunker Hill","250","9"
"functional programming","251","3"
"client-centered therapy","252","2"
"She Stoops to Conquer","253","12"
"steel","254","12"
"Velvet Revolution","255","3"
"Joan Miro i Ferra","256","5"
"Look Homeward Angel","257","3"
"Henry VII of England","258","4"
"collagen","259","19"
"Frigg","260","9"
"Normandy","261","6"
"Baruch de Spinoza","262","2"
"Arcadia","263","11"
"Christian","264","3"
"Andromeda galaxy","265","7"
"Rhiannon","266","7"
"Gargantua","267","5"
"Henry V","268","16"
"DNA repair","269","5"
"Bruno Bettelheim","270","8"
"Love in the Time of Cholera","271","14"
"John Fitzgerald Kennedy","272","6"
"Concord Sonata","273","2"
"electric permittivity","274","3"
"Guru Nanak Dev Ji","275","3"
"Tender is the Night","276","9"
"hyperconjugation","277","8"
"Breathless","278","2"
"Sinclair Lewis","279","21"
"Gaius Aurelius Valerius Diocletianus","280","2"
"Eids","281","2"
"Neptune","282","18"
"Hart Crane","283","11"
"Vidiadhar Surajprasad Naipaul","284","11"
"Mollusca","285","15"
"The Creation","286","2"
"Volpone","287","17"
"Ken Kesey","288","2"
"Republic of Lebanon","289","3"
"hemoglobin","290","29"
"Carl Gustav Jung","291","18"
"Alex DeLarge","292","3"
"Harold II","293","4"
"Thomas Cowperthwait Eakins","294","2"
"Huitzilopochtli","295","12"
"esters","296","25"
"Canada","297","47"
"Charlie Parker","298","11"
"Romance of the Three Kingdoms","299","17"
"weak force","300","12"
"Ludwig Wittgenstein","301","30"
"As I Lay Dying","302","15"
"Horace","303","19"
"Clifford Geertz","304","12"
"When Lilacs Last in the Dooryard Bloomd","305","6"
"holy water","306","2"
"cyclops","307","3"
"Ludwig van Beethovens piano sonatas","308","3"
"Emma Goldman","309","2"
"Vitamin B12","310","4"
"Snow Country","311","11"
"The Calling of St Matthew","312","6"
"ribosomes","313","19"
"Ferdinand Edralin Marcos","314","2"
"rotation","315","12"
"Bertrand Arthur William Russell","316","11"
"sulfuric acid","317","25"
"The Barber of Seville","318","20"
"Federico Garcia Lorca","319","28"
"methane","320","12"
"George Armstrong Custer","321","4"
"P","322","3"
"Claude Debussy","323","37"
"Nicomachean Ethics","324","8"
"William Wordsworth","325","20"
"Japan","326","129"
"amines","327","15"
"Horus","328","27"
"Luigi Pirandello","329","33"
"symmetry","330","4"
"Washington","331","6"
"Course in General Linguistics","332","4"
"Antonio Canova","333","8"
"Jim","334","7"
"A Theory of Justice","335","7"
"Rashomon","336","6"
"Zealots","337","3"
"symphonies by Dmitri Shostakovich","338","2"
"The Birthday Party","339","17"
"luminosity","340","11"
"Caspar David Friedrich","341","12"
"Seamus Heaney","342","19"
"Lakshmi","343","9"
"A Room with a View","344","7"
"Hall effect","345","16"
"Cardinal Thomas Wolsey","346","3"
"Tintoretto","347","6"
"The Night of the Iguana","348","3"
"Russia","349","71"
"Georg Simmel","350","6"
"bubble sort","351","2"
"Persephone","352","10"
"Hugo Chavez","353","4"
"Sonnets from the Portuguese","354","12"
"Heitor Villa-Lobos","355","6"
"ammonia","356","27"
"Kalmar Union","357","3"
"Fidelio","358","10"
"Darkness at Noon","359","11"
"Long March","360","4"
"Brian Mulroney","361","5"
"The Sickness unto Death","362","2"
"Gabriela Mistral","363","12"
"phenolphthalein","364","4"
"Bertolt Brecht","365","33"
"Alfred Kroeber","366","4"
"Quasi-War","367","4"
"Bishop George Berkeley","368","6"
"Norwegian Wood","369","5"
"ATP","370","26"
"Etruscan civilization","371","3"
"Heimdallr","372","17"
"Edvard Grieg","373","23"
"The Natural","374","5"
"Henri Marie Raymond de Toulouse-Lautrec-Monfa","375","3"
"Republic of Belarus","376","5"
"Time Out","377","4"
"Wystan Hugh Auden","378","27"
"Hamilton","379","3"
"The Rise of Silas Lapham","380","5"
"Ganesha","381","23"
"The Master Builder","382","9"
"torus","383","8"
"Munich","384","7"
"Battle of Leipzig","385","9"
"charm quark","386","4"
"John Cheever","387","11"
"Die Fledermaus","388","7"
"Rosh Hashanah","389","12"
"Rafael Leonidas Trujillo Molina","390","5"
"acetylcholine","391","14"
"The Mayor of Casterbridge","392","10"
"Manitoba","393","5"
"The Embarkation for Cythera","394","2"
"hydrogen peroxide","395","16"
"Twenty Love Poems and a Song of Despair","396","14"
"The Phenomenology of Spirit","397","11"
"The Libation Bearers","398","7"
"Capetian Dynasty","399","4"
"Jorge Leal Amado de Faria","400","2"
"Ronald Coase","401","6"
"actin","402","23"
"Mayans","403","19"
"Helios","404","13"
"The Charterhouse of Parma","405","9"
"boundary layer","406","2"
"Caligula","407","13"
"infrared spectroscopy","408","10"
"Anna Karenina","409","29"
"Chiron","410","6"
"GABA","411","8"
"Alberto Giacometti","412","8"
"Doris Lessing","413","13"
"Walter Benjamin","414","12"
"convergence","415","10"
"Madagascar","416","22"
"outlaw motorcycle gangs","417","2"
"ionization","418","5"
"Edmund Husserl","419","9"
"Brigham Young","420","4"
"White Noise","421","8"
"Helsinki Accords","422","2"
"thiols","423","6"
"Ralph Vaughan-Williams","424","2"
"biographies of Muhammad","425","3"
"Orhan Pamuk","426","17"
"Lord Palmerston","427","8"
"Infinite Jest","428","7"
"Diomedes","429","9"
"Getulio Dornelles Vargas","430","3"
"RNA interference","431","9"
"Filippo Brunelleschi","432","10"
"Madness and Civilization","433","2"
"Bolivia","434","12"
"Richard I","435","12"
"Julio Cortazar","436","14"
"Milton Friedman","437","33"
"NMR spectroscopy","438","10"
"James Abbot McNeill Whistler","439","2"
"Kirkwood gaps","440","2"
"Hungarian Revolution of 1956","441","6"
"Book of Revelation","442","14"
"Greece","443","49"
"symphonies of Johannes Brahms","444","2"
"cooling","445","4"
"Triangle Shirtwaist Factory Fire","446","3"
"Aldous Leonard Huxley","447","6"
"Constantine","448","6"
"gluconeogenesis","449","5"
"Artemisia Gentileschi","450","8"
"organometallic compounds","451","2"
"ostracism","452","4"
"The Mill on the Floss","453","2"
"voting","454","17"
"Baba Yaga","455","4"
"The Idiot","456","17"
"noise","457","5"
"categorical imperative","458","3"
"Canzoniere","459","2"
"Barcelona","460","14"
"Georgia","461","27"
"elasticity","462","6"
"Book of Job","463","10"
"Du Fu","464","5"
"War of the League of Augsburg","465","2"
"The Phantom Tollbooth","466","4"
"Australian Aborigines","467","12"
"Nathaniel Hawthorne","468","50"
"Winslow Homer","469","19"
"aldehydes","470","18"
"The Lonely Crowd","471","7"
"David Herbert Lawrence","472","16"
"Sir Francis Bacon","473","6"
"Dalai Lama","474","4"
"Apache","475","5"
"Julys People","476","14"
"Daphnis et Chloe","477","3"
"Arthur Wellesley Duke of Wellington","478","2"
"boar hunts","479","2"
"Inspector Javert","480","4"
"I Have a Dream speech","481","3"
"Battle of Saratoga","482","14"
"Stephane Mallarme","483","2"
"pendulum","484","8"
"oboe","485","11"
"Bartleby the Scrivener","486","3"
"John Langshaw Austin","487","4"
"Zinc","488","3"
"Tannhauser","489","3"
"Sicilian Expedition","490","3"
"Clarissa","491","4"
"Lawrence Kohlberg","492","5"
"Achilles","493","25"
"glutamate","494","4"
"Yevgeny Ivanovich Zamyatin","495","2"
"Katsushika Hokusai","496","8"
"Peterloo Massacre","497","6"
"Fermats little theorem","498","4"
"The Piano Lesson","499","6"
"Chicago Illinois","500","19"
"Cymbeline","501","5"
"Charles Sanders Peirce","502","11"
"Diels-Alder reaction","503","7"
"The Tennis Court Oath","504","3"
"The Fountainhead","505","2"
"Mictlan","506","2"
"Titus Maccius Plautus","507","8"
"Fiji","508","4"
"flute","509","29"
"bone marrow","510","4"
"Mahavira","511","8"
"Claude Levi-Strauss","512","16"
"Heian Period","513","2"
"Julien Sorel","514","5"
"Battle of Adrianople","515","3"
"Invisible Man","516","28"
"Pinckney","517","3"
"King Gesar","518","3"
"Giacomo Balla","519","3"
"Stability","520","2"
"Joseph Brodsky","521","4"
"Seoul","522","3"
"Kingsley Amis","523","8"
"Magnetoresistance","524","2"
"Zora Neale Hurston","525","14"
"Yemen","526","11"
"Zazie in the Metro","527","2"
"Belgium","528","24"
"Robert Lucas","529","2"
"T-cells","530","2"
"Amiri Baraka","531","4"
"Electra","532","4"
"Robert Pinsky","533","2"
"Fountain","534","3"
"Nigeria","535","28"
"John Dewey","536","22"
"Marshall Sahlins","537","2"
"Ford Madox Brown","538","2"
"The Myth of the Negro Past","539","2"
"Braxton Bragg","540","3"
"Decline and Fall","541","4"
"Khnum","542","4"
"Congo River","543","12"
"titanium","544","14"
"Walker","545","4"
"Solidarity","546","12"
"Icelandic sagas","547","2"
"Sally Hemings","548","2"
"The Rose Tattoo","549","3"
"Youngs double-slit experiment","550","7"
"Auger effect","551","4"
"Karen Horney","552","4"
"Moroni","553","3"
"The Bridge","554","4"
"Zaha Hadid","555","6"
"Philip IV","556","4"
"Betrayed by Rita Hayworth","557","3"
"Flight Into Egypt","558","2"
"Mordecai Richler","559","3"
"Edward Teller","560","2"
"Australia","561","53"
"The Winters Tale","562","4"
"Rubaiyat of Omar Khayyam","563","9"
"Childrens Corner","564","2"
"Battle of Thermopylae","565","6"
"Sistine Chapel","566","8"
"Cyclopropane","567","2"
"Friedrich Holderlin","568","2"
"Sneferu","569","2"
"The Stones of Venice","570","3"
"international trade","571","6"
"The Mysteries of Udolpho","572","6"
"protostars","573","3"
"Westminster Abbey","574","2"
"Tristan Tzara","575","2"
"azeotropes","576","5"
"Dubrovnik","577","2"
"Come Back Little Sheba","578","2"
"John Peter Altgeld","579","3"
"Telchines","580","2"
"Franz Brentano","581","2"
"Giuseppe Arcimboldo","582","3"
"Death of the Hired Man","583","2"
"synchrotron radiation","584","4"
"Yamata-no-Orochi","585","2"
"Igor Stravinsky","586","29"
"George Herbert Walker Bush","587","8"
"electron","588","6"
"electronegativity","589","35"
"redox reaction","590","2"
"electrons","591","38"
"Tulsa Oklahoma","592","2"
"Benjamin Henry Latrobe","593","2"
"2666","594","3"
"production functions","595","3"
"The Changeling","596","3"
"virial equation of state","597","3"
"Laomedon","598","3"
"Malawi","599","3"
"Idiots Delight","600","2"
"Serbian","601","2"
"Baltasar and Blimunda","602","2"
"Fluorine","603","2"
"Malgudi","604","2"
"seven","605","16"
"Neutrino","606","3"
"Lombard League","607","2"
"Minima Moralia","608","2"
"Lucrezia Borgia","609","2"
"William S Burroughs","610","4"
"The Turn of the Screw","611","9"
"Albert Ellis","612","3"
"Angels","613","2"
"Shermans March to the Sea","614","2"
"Oscar Wilde","615","27"
"El Amor Brujo","616","2"
"The White Rose","617","2"
"Paul Celan","618","4"
"Fischer-Tropsch","619","3"
"Harlequins Carnival","620","2"
"Karl Weierstrass","621","7"
"Madmen and Specialists","622","2"
"City Lights","623","2"
"Flowering Judas","624","2"
"The Man Who Was Thursday","625","3"
"Leon Blum","626","2"
"Fields","627","2"
"Imogen","628","2"
"Ruben Dario","629","10"
"Giovanni Pierluigi da Palestrina","630","4"
"Henry Clay Sr","631","5"
"Nitric Oxide","632","2"
"Ran","633","3"
"Why I Live at the PO","634","6"
"Anti-Intellectualism in American Life","635","2"
"Maurice Ravel","636","32"
"ALS","637","2"
"Childe Roland to the Dark Tower Came","638","2"
"Julian the Apostate","639","4"
"Stella","640","3"
"rainbows","641","8"
"Nguyen Dynasty","642","2"
"Lysippos","643","2"
"The Surrender of Breda","644","3"
"Second Vatican Council","645","6"
"iron","646","39"
"La Vita Nuova","647","3"
"Spain","648","69"
"Plotinus","649","3"
"WKBJ approximation","650","2"
"Death and the Maiden","651","4"
"Enlil","652","6"
"Lorentz invariance","653","3"
"Three Studies for Figures at the Base of a Crucifixion","654","2"
"private language","655","3"
"gyres","656","2"
"Louis Kahn","657","2"
"bones","658","10"
"azide","659","4"
"Edward III","660","5"
"Ionian Revolt","661","4"
"Edward II","662","10"
"Battle of Brandywine Creek","663","4"
"January Uprising","664","2"
"Pakistan","665","17"
"Charles VI","666","2"
"Hashemite Kingdom of Jordan","667","6"
"Sir Martin Frobisher","668","2"
"Jan Christiaan Smuts","669","3"
"Republic of Italy","670","8"
"oil","671","3"
"Parthian Empire","672","7"
"New Hampshire","673","7"
"Kingdom of Sweden","674","30"
"Mormons","675","15"
"William Graham Sumner","676","4"
"Latvia","677","4"
"Leonid Ilyich Brezhnev","678","2"
"Kingdom of Wessex","679","3"
"Lusitania","680","2"
"Menelik II","681","6"
"Bulgaria","682","18"
"War of the Bavarian Succession","683","2"
"Lothair I","684","2"
"Battle of Fredericksburg","685","6"
"Brittany","686","7"
"Switzerland","687","53"
"Speaker of the US House of Representatives","688","3"
"Tibet","689","18"
"York","690","2"
"Oklahoma","691","18"
"Frederick II","692","8"
"Yuan Shikai","693","3"
"Stephen","694","3"
"Flavius Stilicho","695","2"
"Confederate States of America","696","4"
"Republic of Croatia","697","4"
"Zimmerman Telegram","698","2"
"Golden Horde","699","4"
"Elam","700","3"
"Tahiti","701","4"
"Siberia","702","6"
"Republic of Genoa","703","4"
"Charleston","704","5"
"Miltiades","705","3"
"James I of England","706","8"
"taxes","707","17"
"Austria-Hungary","708","3"
"Louis the Pious","709","6"
"Republic of Peru","710","15"
"Creek War","711","5"
"Anderson","712","5"
"Tuscarora","713","3"
"Worms","714","6"
"Amazon River","715","11"
"Navarre","716","5"
"Taira","717","2"
"Battle of Lake Erie","718","7"
"Uthman ibn Affan","719","2"
"Operation Condor","720","3"
"Titus Flavius Domitianus","721","2"
"Erik","722","2"
"Aung San","723","2"
"Augusto Cesar Sandino","724","2"
"Battle of Panipat","725","2"
"States Rights Democratic Party","726","2"
"Caroline Affair","727","3"
"John Winthrop","728","4"
"Grand Duchy of Finland","729","2"
"Mississippian culture","730","3"
"Venezuela","731","14"
"nullification","732","3"
"Hasmonean dynasty","733","5"
"Hispaniola","734","6"
"Prime Minister of Italy","735","2"
"Saxony","736","4"
"The Rite of Spring","737","21"
"Louisiana Purchase","738","3"
"Pilgrims Progress","739","2"
"spleen","740","16"
"Francis Scott Key Fitzgerald","741","14"
"Stanley Milgram","742","36"
"Reptilia","743","3"
"Prometheus","744","11"
"lacrosse","745","2"
"Turandot","746","16"
"Cherokee","747","10"
"ellipse","748","4"
"Candide","749","29"
"Emily Elizabeth Dickinson","750","15"
"Maryland","751","14"
"Republic of Hungary","752","7"
"Thor","753","44"
"Ernest Miller Hemingway","754","14"
"Vienna","755","33"
"Mao Zedong","756","24"
"Alan Mathison Turing","757","5"
"Vietnam","758","21"
"deserts","759","8"
"uranium","760","10"
"A Modest Proposal For Preventing The Children of Poor People in Ireland From Being","761","2"
"Kurt Vonnegut","762","11"
"The Republic","763","26"
"Charlemagne","764","48"
"Sophocles","765","18"
"Bernoullis Principle","766","3"
"Henry James","767","35"
"Jerome David Salinger","768","19"
"The Grapes of Wrath","769","17"
"Lord of the Flies","770","23"
"Nineteen Eighty-Four","771","7"
"Emile Zola","772","12"
"California Gold Rush","773","6"
"Henry Clay","774","19"
"Jawaharlal Nehru","775","24"
"New Deal","776","3"
"Commonwealth of Australia","777","59"
"Wolfgang Amadeus Mozart","778","44"
"influenzavirus","779","3"
"Harriet Beecher Stowe","780","8"
"aluminum","781","17"
"winds","782","6"
"Sir Isaac Newton","783","14"
"Daniel","784","18"
"sharks","785","9"
"Battle of Hastings","786","21"
"Carmen","787","30"
"The Glass Menagerie","788","14"
"Stephen Crane","789","39"
"William Carlos Williams","790","28"
"pH indicators","791","2"
"Chinua Achebe","792","44"
"Osiris","793","28"
"fungi","794","12"
"Sigmund Freud","795","35"
"Johann Sebastian Bach","796","45"
"cancer","797","11"
"Macbeth","798","14"
"Emily Bronte","799","2"
"Charles Ives","800","25"
"No Exit","801","15"
"The Decameron","802","24"
"Han Dynasty","803","19"
"integral","804","2"
"East Germany","805","17"
"James II of England","806","6"
"KGB","807","3"
"Napoleon Bonaparte","808","25"
"Otto Eduard Leopold von Bismarck","809","11"
"Ataturk","810","2"
"Fidel Castro Ruz","811","2"
"Republica Argentina","812","6"
"Mahatma Gandhi","813","9"
"State of Israel","814","11"
"Republican Party","815","5"
"Robert Edward Lee","816","8"
"War of 1812","817","21"
"Ethan Frome","818","13"
"Albert Einstein","819","31"
"labor unions","820","2"
"Justinian I","821","29"
"glycolysis","822","22"
"nucleus","823","18"
"glaciers","824","23"
"hydrogen","825","13"
"Anton Pavlovich Chekhov","826","12"
"Pyotr Ilyich Tchaikovsky","827","29"
"Atticus Finch","828","6"
"The Sound and the Fury","829","14"
"Jason","830","20"
"trees","831","44"
"George Washington","832","37"
"Scopes Monkey Trial","833","5"
"Tokugawa Shogunate","834","9"
"prime numbers","835","28"
"The Rubaiyat of Omar Khayyam","836","10"
"John Locke","837","52"
"Joan of Arc","838","7"
"Sense and Sensibility","839","17"
"Republic of Honduras","840","5"
"Franz Peter Schubert","841","18"
"Jamestown Settlement","842","2"
"James Augustine Aloysius Joyce","843","15"
"acids","844","13"
"Rene Descartes","845","30"
"Rio de Janeiro","846","16"
"Republic of the Philippines","847","29"
"War and Peace","848","15"
"Walden","849","9"
"Whos Afraid of Virginia Woolf","850","17"
"William Cullen Bryant","851","22"
"The Legend of Sleepy Hollow","852","12"
"New Zealand","853","45"
"Thomas Stearns Eliot","854","21"
"B vitamins","855","5"
"trumpet","856","29"
"electric field","857","23"
"liver","858","27"
"Irwin Allen Ginsberg","859","7"
"Johann Wolfgang von Goethe","860","41"
"Battle of Gettysburg","861","23"
"Tierra del Fuego","862","9"
"fats","863","2"
"Mali Empire","864","27"
"Hercules","865","6"
"Wisconsin","866","16"
"Leonardo da Vinci","867","21"
"flasks","868","3"
"Zoroastrianism","869","47"
"Ahmed Salman Rushdie","870","2"
"mitochondria","871","34"
"Albert Camus","872","35"
"Samuel Johnson","873","10"
"quartz","874","23"
"Pythagorean theorem","875","8"
"noble gases","876","16"
"Nikita Sergeyevich Khrushchev","877","10"
"Third Crusade","878","13"
"tuba","879","3"
"Fibonacci numbers","880","14"
"William Henry Harrison","881","3"
"cotton","882","9"
"governor of California","883","2"
"Kingdom of Saudi Arabia","884","5"
"AIDS","885","6"
"linguistics","886","5"
"Mesozoic Era","887","3"
"Madame Bovary","888","37"
"demand","889","14"
"Huckleberry Finn","890","8"
"John Milton","891","34"
"Odin","892","48"
"pituitary gland","893","10"
"Inca Empire","894","9"
"calcium","895","25"
"The 1812 Overture","896","3"
"photosynthesis","897","11"
"Roe v Wade","898","8"
"Scotland","899","39"
"New Orleans","900","17"
"Philip Milton Roth","901","12"
"queue","902","2"
"earthquake","903","2"
"Frederick the Great","904","12"
"Franz Kafka","905","46"
"Walt Whitman","906","32"
"Freidrich Nietzsche","907","2"
"Gaius Julius Caesar","908","25"
"A Dolls House","909","21"
"King Arthur","910","14"
"stomach","911","23"
"Eugene Gladstone ONeill","912","9"
"Jimmy Carter","913","4"
"vegetarianism","914","4"
"neurons","915","20"
"Scott Joplin","916","13"
"carbon dioxide","917","24"
"cations","918","2"
"chemical bonds","919","2"
"Second Law of Thermodynamics","920","9"
"acceleration","921","15"
"Aaron Copland","922","47"
"symphony","923","5"
"encryption","924","4"
"hard drive","925","3"
"Nile River","926","15"
"The Jungle","927","10"
"Vishnu","928","21"
"mantle","929","13"
"Michael Jordan","930","3"
"Carthage","931","31"
"circles","932","12"
"Benjamin Franklin","933","14"
"Ludwig van Beethoven","934","38"
"The Canterbury Tales","935","28"
"Edward Elgar","936","20"
"Robert Lee Frost","937","21"
"bacteria","938","3"
"Francisco Paulino Hermenegildo Teodulo Franco Bahamonde","939","3"
"Aeneas","940","22"
"Baptism","941","2"
"centaurs","942","13"
"white blood cells","943","3"
"Golgi apparatus","944","17"
"enthalpy","945","27"
"Amperes Law","946","5"
"The Hay Wain","947","13"
"Moliere","948","18"
"Rudyard Kipling","949","22"
"faults","950","10"
"Diego Velazquez","951","12"
"Edvard Munch","952","31"
"Nighthawks","953","20"
"Paul Jackson Pollock","954","4"
"The Starry Night","955","8"
"clarinet","956","28"
"D major","957","6"
"utilitarianism","958","19"
"Hera","959","30"
"Romulus","960","19"
"Neanderthals","961","7"
"impeachment of Andrew Johnson","962","2"
"Illinois","963","11"
"Gaius Marius","964","7"
"Jerusalem","965","32"
"Moon","966","7"
"William Makepeace Thackeray","967","8"
"Atlanta Georgia","968","7"
"Hosni Mubarak","969","5"
"Nixon in China","970","5"
"Louisa May Alcott","971","8"
"Somalia","972","14"
"North Carolina","973","20"
"Panic of 1837","974","7"
"War of the Triple Alliance","975","23"
"Central Park","976","6"
"Henry IV of France","977","5"
"Ivan","978","5"
"Oklahoma City Bombing","979","3"
"polygamy","980","3"
"Knights of Labor","981","4"
"Leopold II","982","3"
"Charles de Gaulle","983","10"
"Marshall Plan","984","4"
"David Lloyd George","985","7"
"Republic of Panama","986","14"
"Zoot Suit riots","987","2"
"Democratic Socialist Republic of Sri Lanka","988","5"
"Denmark","989","20"
"Napoleon III","990","12"
"Assyrian Empire","991","6"
"Mad Men","992","7"
"Jackson Pollock","993","17"
"Iran-Contra affair","994","10"
"Afghanistan","995","18"
"Michele Bachmann","996","2"
"Philip II of Spain","997","12"
